route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
113B,MT,110891273,Westminster Station,1, 113  2,982128
113B,MT,110891275,Westminster Station,1, 113  2,982128
113B,MT,110891276,Westminster Station,1, 113  2,982128
113B,MT,110891277,Westminster Station,1, 113  2,982128
113B,MT,110891278,Westminster Station,1, 113  2,982128
113B,MT,110891279,Westminster Station,1, 113  1,982128
113B,MT,110891280,Westminster Station,1, 113  2,982128
113B,MT,110891281,Westminster Station,1, 113  1,982128
113B,MT,110891282,Westminster Station,1, 113  2,982128
113B,MT,110891283,Westminster Station,1, 113  1,982128
113B,MT,110891284,Westminster Station,1, 113  2,982128
113B,MT,110891285,Westminster Station,1, 113  1,982128
113B,MT,110891286,Westminster Station,1, 113  2,982128
113B,MT,110891287,Westminster Station,1, 113  2,982128
113B,MT,110891288,Westminster Station,1, 113  2,982128
113B,MT,110891289,Westminster Station,1, 113  2,982128
113B,MT,110891290,Westminster Station,1, 113  2,982128
113B,MT,110891291,Westminster Station,1, 113  2,982128
113B,MT,110891292,Westminster Station,1, 113  2,982128
113B,MT,110891293,Westminster Station,1, 113  1,982128
113B,MT,110891294,Westminster Station,1, 113  2,982128
113B,MT,110891295,Westminster Station,1, 113  1,982128
113B,MT,110891296,Westminster Station,1, 113  2,982128
113B,MT,110891297,Westminster Station,1, 113  1,982128
113B,SA,110891367,Union Station,0, 113  1,982120
113B,SA,110891368,Union Station,0, 113  1,982120
113B,SA,110891369,Union Station,0, 113  1,982120
113B,SA,110891370,Union Station,0, 113  1,982120
113B,SA,110891376,Union Station,0, 113  1,982120
113B,SA,110891377,Union Station,0, 113  1,982120
113B,SA,110891378,Union Station,0, 113  1,982120
113B,SA,110891379,Union Station,0, 113  1,982120
113B,SA,110891380,Union Station,0, 113  1,982120
113B,SA,110891381,Union Station,0, 113  1,982120
113B,SA,110891382,Union Station,0, 113  1,982120
113B,SA,110891383,Union Station,0, 113  1,982120
113B,SA,110891384,Union Station,0, 113  1,982120
113B,SA,110891385,Union Station,0, 113  1,982120
113B,SA,110891386,Union Station,0, 113  1,982120
113B,SA,110891387,Union Station,0, 113  1,982120
113B,SA,110891389,Union Station,0, 113  1,982120
113B,SA,110891392,Westminster Station,1, 113  1,982128
113B,SA,110891422,Westminster Station,1, 113  1,982128
113B,SA,110891423,Westminster Station,1, 113  1,982128
113B,SA,110891424,Westminster Station,1, 113  1,982128
113B,SA,110891425,Westminster Station,1, 113  1,982128
113B,SA,110891426,Westminster Station,1, 113  1,982128
113B,SA,110891427,Westminster Station,1, 113  1,982128
113B,SA,110891428,Westminster Station,1, 113  1,982128
113B,SA,110891429,Westminster Station,1, 113  1,982128
113B,SA,110891430,Westminster Station,1, 113  1,982128
113B,SA,110891431,Westminster Station,1, 113  1,982128
113B,SA,110891432,Westminster Station,1, 113  1,982128
113B,SA,110891433,Westminster Station,1, 113  1,982128
113B,SA,110891434,Westminster Station,1, 113  1,982128
113B,SA,110891435,Westminster Station,1, 113  1,982128
113B,SA,110891436,Westminster Station,1, 113  1,982128
113B,SA,110891438,Westminster Station,1, 113  1,982128
113B,SU,110971030,Union Station,0, 113  1,982120
113B,SU,110971031,Union Station,0, 113  1,982120
113B,SU,110971032,Union Station,0, 113  1,982120
113B,SU,110971033,Union Station,0, 113  1,982120
113B,SU,110971035,Union Station,0, 113  1,982120
113B,SU,110971036,Union Station,0, 113  1,982120
113B,SU,110971037,Union Station,0, 113  1,982120
113B,SU,110971038,Union Station,0, 113  1,982120
113B,SU,110971039,Union Station,0, 113  1,982120
113B,SU,110971040,Union Station,0, 113  1,982120
113B,SU,110971041,Union Station,0, 113  1,982120
113B,SU,110971042,Union Station,0, 113  1,982120
113B,SU,110971043,Union Station,0, 113  1,982120
113B,SU,110971044,Union Station,0, 113  1,982120
113B,SU,110971045,Union Station,0, 113  1,982120
113B,SU,110971046,Union Station,0, 113  1,982120
113B,SU,110971047,Union Station,0, 113  1,982120
113B,SU,110971049,Westminster Station,1, 113  1,982128
113B,SU,110971051,Westminster Station,1, 113  1,982128
113B,SU,110971052,Westminster Station,1, 113  1,982128
113B,SU,110971053,Westminster Station,1, 113  1,982128
113B,SU,110971054,Westminster Station,1, 113  1,982128
113B,SU,110971055,Westminster Station,1, 113  1,982128
